#Wavelength,Intensity
#nm,
413.93,1887.99981688312
414.14,1936.54443888889
414.36,1882.00979393939
414.57,1873.86528888889
414.79,1905.26641341992
415,1911.18182222222
415.22,1864.53695974026
415.43,1876.81117460317
415.64,1836.00821111111
415.86,1872.15112640693
416.07,1850.44997777778
416.29,1834.4375987013
416.5,1879.99492777778
416.72,1900.19364502165
416.93,1880.62554444444
417.15,1933.82663982684
417.36,1867.14272698412
417.57,1848.76507222222
417.79,1912.18666580087
418,1846.47748888889
418.22,1856.64628701298
418.43,1901.42652777778
418.65,1804.39253290043
418.86,1826.70459206349
419.07,1816.39855
419.29,1804.11181904762
419.5,1832.8961
419.72,1862.6662038961
419.93,1863.7239
420.15,1874.39741645021
420.36,1894.51745873016
420.57,1904.96448333333
420.79,1845.9219034632
421,1857.63022777778
421.22,1850.21316839826
421.43,1871.75403492064
421.64,1902.09959444444
421.86,1899.51167748918
422.07,1857.67604444445
422.29,1841.23134329004
422.5,1865.21266666667
422.71,1906.25379444444
422.93,1933.84856493507
423.14,1917.48720555556
423.36,1854.93927489177
423.57,1879.36106666667
423.78,1938.54578888889
424,1953.72412597403
424.21,1907.94445
424.43,1846.4702961039
424.64,1873.1150015873
424.85,1889.7906
425.07,1925.7467008658
425.28,1902.98533174603
425.49,1920.14916666667
425.71,1923.97741948052
425.92,1874.58008333333
426.14,1919.45364502164
426.35,1916.18973968254
426.56,1930.38539444444
426.78,1920.90898225108
426.99,1959.15230952381
427.2,1925.0825888889
427.42,1828.15995411255
427.63,1890.13026666667
427.85,1866.77287835498
428.06,1801.71040634921
428.27,1812.01147777778
428.49,1884.62107445888
428.7,1800.00508095238
428.91,1852.68815
429.13,1874.11308051948
429.34,1830.3807
429.55,1860.53880555556
429.77,1822.89189307358
429.98,1868.22244444445
430.19,1857.10318888889
430.41,1914.29039350649
430.62,1889.36673809523
430.83,1846.40043333333
431.05,1847.01951038961
431.26,1822.08858571429
431.47,1838.98736111111
431.69,1872.96162554113
431.9,1906.97803015873
432.11,1889.255
432.33,1869.38035324676
432.54,1857.27051269841
432.75,1905.13783333334
432.97,1961.31183116884
433.18,1864.30572063492
433.39,1850.46728333333
433.61,1911.29658528139
433.82,1882.10271428571
434.03,1882.82588333333
434.25,1924.93672207793
434.46,1871.87425555556
434.67,1868.31445555556
434.89,1902.72140865801
435.1,1881.19318888889
435.31,1945.95643333333
435.53,1962.002504329
435.74,1944.8988968254
435.95,1900.71342222222
436.17,1869.66935108225
436.38,1903.48798253968
436.59,1884.56026984127
436.8,1874.44563888889
437.02,1889.66772987013
437.23,1855.59518888889
437.44,1859.88879444445
437.66,1901.73615714286
437.87,1907.03031428571
438.08,1951.39013333334
438.3,1915.33109090909
438.51,1953.6246015873
438.72,1981.4870888889
438.93,1910.60175555555
439.15,1925.52498398268
439.36,1923.92560793651
439.57,1906.25422222222
439.79,1875.0669012987
440,1844.74896666667
440.21,1841.22246984127
440.42,1859.97961111111
440.64,1894.45461125542
440.85,1894.48862539682
441.06,1880.51189365079
441.27,1853.01657777778
441.49,1845.98874502164
441.7,1881.92381746032
441.91,1901.45196111111
442.13,1868.60639610389
442.34,1817.20032539682
442.55,1855.58012063492
442.76,1838.89130555555
442.98,1899.51418701299
443.19,1907.45508412698
443.4,1927.91958730159
443.61,1891.34434444444
443.83,1947.18785757576
444.04,1870.23662857142
444.25,1857.44434920635
